( 52.13  22.51   1.00)
( 52.13  22.51   3.00)
( 52.13  22.51   5.00)
( 52.13  22.51   8.00)
(118.98  73.05   1.00)
(118.98  73.05   3.00)
(118.98  73.05   5.00)
(118.98  73.05   8.00)
( 53.37  21.56   1.00)
( 53.37  21.56   3.00)
( 53.37  21.56   5.00)
( 53.37  21.56   8.00)
( 57.00   8.01   1.00)
( 57.00   8.01   5.00)
( 57.00   8.01   8.00)
(138.96  17.06   1.00)
(138.96  17.06   3.00)
(138.96  17.06   5.00)
(138.96  17.06   8.00)
( 32.09  42.23   1.00)
( 32.09  42.23   3.00)
( 32.09  42.23   5.00)
( 32.09  42.23   8.00)
( 44.65  35.42   1.00)
( 44.65  35.42   3.00)
( 44.65  35.42   8.00)
(378.52 128.83   1.00)
(378.52 128.83   3.00)
(378.52 128.83   8.00)
(121.40  69.72   1.00)
(121.40  69.72   3.00)
(121.40  69.72   8.00)
(100.93  97.02   1.00)
(100.93  97.02   3.00)
(100.93  97.02   8.00)
(364.77 163.67   1.00)
(364.77 163.67   3.00)
(364.77 163.67   8.00)
(399.84  11.15   1.00)
(399.84  11.15   3.00)
(399.84  11.15   8.00)
(393.53  70.57   1.00)
(393.53  70.57   3.00)
(393.53  70.57   8.00)
(-61.54   7.56   1.00)
(-61.54   7.56   3.00)
(-61.54   7.56   5.00)
(-61.54   7.56   8.00)
( 56.58   6.95   1.00)
( 56.58   6.95   3.00)
( 56.58   6.95   5.00)
( 56.58   6.95   8.00)
(397.02  48.75   1.00)
(397.02  48.75   3.00)
(397.02  48.75   5.00)
(397.02  48.75   8.00)
(139.63  13.08   1.00)
(139.63  13.08   3.00)
(139.63  13.08   5.00)
(139.63  13.08   8.00)
(132.32  46.47   1.00)
(132.32  46.47   3.00)
(132.32  46.47   5.00)
(132.32  46.47   8.00)
( 45.14  34.46   3.00)
(133.12  42.09   8.00)
(133.12  42.09   1.00)
(133.12  42.09   3.00)
(385.26 107.55   8.00)
(385.26 107.55   1.00)
(385.26 107.55   3.00)
